settlement_date,actual,expected,shortfall,note
2016-02-02,46,48,2,elexon-non-publication
2016-03-17,47,48,1,elexon-non-publication
2016-03-23,46,48,2,elexon-non-publication
2016-03-28,47,48,1,elexon-non-publication
2016-05-10,46,48,2,elexon-non-publication
2016-07-19,45,48,3,elexon-non-publication
2016-10-18,46,48,2,elexon-non-publication
2016-10-30,49,50,1,elexon-non-publication
2016-11-29,46,48,2,elexon-non-publication
2017-01-19,46,48,2,elexon-non-publication
2017-03-27,47,48,1,elexon-non-publication
2017-04-05,47,48,1,elexon-non-publication
2017-07-20,46,48,2,elexon-non-publication
2017-10-12,44,48,4,elexon-non-publication
2017-10-29,49,50,1,elexon-non-publication
2018-01-23,44,48,4,elexon-non-publication
2018-03-26,47,48,1,elexon-non-publication
2018-05-10,45,48,3,elexon-non-publication
2018-07-17,46,48,2,elexon-non-publication
2018-09-11,45,48,3,elexon-non-publication
2018-10-18,45,48,3,elexon-non-publication
2018-10-28,49,50,1,elexon-non-publication
2018-12-11,44,48,4,elexon-non-publication
2019-02-09,45,48,3,elexon-non-publication
2019-04-01,47,48,1,elexon-non-publication
2019-04-25,45,48,3,elexon-non-publication
2019-05-22,43,48,5,elexon-non-publication
2019-05-31,46,48,2,elexon-non-publication
2019-06-06,46,48,2,elexon-non-publication
2019-09-26,45,48,3,elexon-non-publication
2019-10-24,45,48,3,elexon-non-publication
2019-10-27,49,50,1,elexon-non-publication
2020-02-13,46,48,2,elexon-non-publication
2020-03-30,47,48,1,elexon-non-publication
2020-04-30,45,48,3,elexon-non-publication
2020-08-06,44,48,4,elexon-non-publication
2020-10-25,49,50,1,elexon-non-publication
2020-11-19,44,48,4,elexon-non-publication
2021-02-18,47,48,1,elexon-non-publication
2021-02-20,47,48,1,elexon-non-publication
2021-02-27,47,48,1,elexon-non-publication
2021-03-29,47,48,1,elexon-non-publication
2021-03-30,46,48,2,elexon-non-publication
2021-04-29,47,48,1,elexon-non-publication
2021-06-16,47,48,1,elexon-non-publication
2021-07-22,47,48,1,elexon-non-publication
2021-08-29,47,48,1,elexon-non-publication
2021-09-21,47,48,1,elexon-non-publication
2021-09-29,47,48,1,elexon-non-publication
2021-10-10,47,48,1,elexon-non-publication
2021-10-13,47,48,1,elexon-non-publication
2021-10-16,47,48,1,elexon-non-publication
2021-10-31,49,50,1,elexon-non-publication
2021-11-23,44,48,4,elexon-non-publication
2021-12-03,47,48,1,elexon-non-publication
2021-12-06,47,48,1,elexon-non-publication
2021-12-08,47,48,1,elexon-non-publication
2021-12-15,47,48,1,elexon-non-publication
2021-12-23,47,48,1,elexon-non-publication
2021-12-30,47,48,1,elexon-non-publication
2022-01-02,47,48,1,elexon-non-publication
2022-01-10,47,48,1,elexon-non-publication
2022-01-18,45,48,3,elexon-non-publication
2022-01-20,47,48,1,elexon-non-publication
2022-02-06,47,48,1,elexon-non-publication
2022-02-10,47,48,1,elexon-non-publication
2022-02-12,47,48,1,elexon-non-publication
2022-02-17,47,48,1,elexon-non-publication
2022-03-03,47,48,1,elexon-non-publication
2022-03-07,47,48,1,elexon-non-publication
2022-03-28,47,48,1,elexon-non-publication
2022-04-30,47,48,1,elexon-non-publication
2022-07-09,47,48,1,elexon-non-publication
2022-07-10,46,48,2,elexon-non-publication
2022-09-23,47,48,1,elexon-non-publication
2023-07-17,47,48,1,elexon-non-publication
2023-12-29,47,48,1,elexon-non-publication
